Abbr,LiteracyRate
AL,80.61781004
AK,86.74092706
AZ,81.91383544
AR,82.81395499
CA,73.83717178
CO,87.08327504
CT,87.45945356
DE,83.59445618
DC,66.9106915
FL,77.06218246
GA,79.26297581
HI,77.7858385
ID,86.24424252
IL,83.38873618
IN,89.72432312
I,89.89941291
KS,89.83855909
KY,85.65771699
LA,79.70998757
ME,89.79474721
MD,86.27737602
MA,87.94521881
MI,88.9646959
MN,92.03159758
MS,79.16931073
MO,90.82391337
MT,87.81721418
NE,90.29127014
NV,74.739324
NH,91.82065962
NJ,79.16460978
NM,78.41831486
NY,74.98530472
NC,83.54550049
ND,90.98461448
OH,88.04891956
OK,85.47288094
OR,86.12301898
PA,84.49123043
RI,86.05864813
SC,81.55045548
SD,90.25470903
TN,83.45341983
TX,77.93133819
UT,86.13092702
VT,90.63330225
VA,85.17775552
WA,87.18203546
WI,82.78747167
WI,90.10351385
WY,87.77158341
